Date,DJI,GSPC,NDX,RUT
2021-04-29,34060.359375,4211.47021484375,13970.2001953125,2295.4599609375
2021-04-30,33874.8515625,4181.169921875,13860.759765625,2266.449951171875
2021-05-03,34113.23046875,4192.66015625,13799.7197265625,2277.449951171875
2021-05-04,34133.03125,4164.66015625,13544.669921875,2248.2900390625
2021-05-05,34230.33984375,4167.58984375,13503.3701171875,2241.3701171875
2021-05-06,34548.53125,4201.6201171875,13613.73046875,2241.419921875
2021-05-07,34777.76171875,4232.60009765625,13719.6298828125,2271.6298828125
2021-05-10,34742.8203125,4188.43017578125,13359.080078125,2212.699951171875
2021-05-11,34269.16015625,4152.10009765625,13351.26953125,2206.989990234375
2021-05-12,33587.66015625,4063.0400390625,13001.6298828125,2135.139892578125
2021-05-13,34021.44921875,4112.5,13109.150390625,2170.949951171875
2021-05-14,34382.12890625,4173.85009765625,13393.1201171875,2224.6298828125
2021-05-17,34327.7890625,4163.2900390625,13312.91015625,2227.1201171875
2021-05-18,34060.66015625,4127.830078125,13217.6796875,2210.8798828125
2021-05-19,33896.0390625,4115.68017578125,13237.91015625,2193.639892578125
2021-05-20,34084.1484375,4159.1201171875,13494.08984375,2207.760009765625
2021-05-21,34207.83984375,4155.85986328125,13411.740234375,2215.27001953125
2021-05-24,34393.98046875,4197.0498046875,13641.75,2227.340087890625
2021-05-25,34312.4609375,4188.1298828125,13657.73046875,2205.75
2021-05-26,34323.05078125,4195.990234375,13702.740234375,2249.27001953125
2021-05-27,34464.640625,4200.8798828125,13657.849609375,2273.070068359375
2021-05-28,34529.44921875,4204.10986328125,13686.509765625,2268.969970703125
2021-06-01,34575.30859375,4202.0400390625,13654.58984375,2294.739990234375
2021-06-02,34600.37890625,4208.1201171875,13675.7900390625,2297.830078125
2021-06-03,34577.0390625,4192.85009765625,13529.6796875,2279.25
2021-06-04,34756.390625,4229.89013671875,13770.76953125,2286.409912109375
2021-06-07,34630.23828125,4226.52001953125,13802.8896484375,2319.179931640625
2021-06-08,34599.8203125,4227.259765625,13810.8603515625,2343.760009765625
2021-06-09,34447.140625,4219.5498046875,13814.9404296875,2327.1298828125
2021-06-10,34466.23828125,4239.18017578125,13960.349609375,2311.409912109375
2021-06-11,34479.6015625,4247.43994140625,13998.2998046875,2335.81005859375
2021-06-14,34393.75,4255.14990234375,14128.2001953125,2326.14990234375
2021-06-15,34299.328125,4246.58984375,14030.41015625,2320.070068359375
2021-06-16,34033.671875,4223.7001953125,13983.009765625,2314.68994140625
2021-06-17,33823.44921875,4221.85986328125,14163.8095703125,2287.4599609375
2021-06-18,33290.078125,4166.4501953125,14049.580078125,2237.75
2021-06-21,33876.96875,4224.7900390625,14137.23046875,2286.090087890625
2021-06-22,33945.578125,4246.43994140625,14270.419921875,2295.949951171875
2021-06-23,33874.23828125,4241.83984375,14274.240234375,2303.469970703125
2021-06-24,34196.8203125,4266.490234375,14365.9599609375,2333.6201171875
2021-06-25,34433.83984375,4280.7001953125,14345.1796875,2334.39990234375
2021-06-28,34283.26953125,4290.60986328125,14524.98046875,2322.340087890625
2021-06-29,34292.2890625,4291.7998046875,14572.75,2308.840087890625
2021-06-30,34502.51171875,4297.5,14554.7998046875,2310.550048828125
2021-07-01,34633.53125,4319.93994140625,14560.0498046875,2329.360107421875
2021-07-02,34786.3515625,4352.33984375,14727.6298828125,2305.760009765625
2021-07-06,34577.37109375,4343.5400390625,14786.3603515625,2274.5
2021-07-07,34681.7890625,4358.1298828125,14810.5400390625,2252.85009765625
2021-07-08,34421.9296875,4320.81982421875,14722.1396484375,2231.679931640625
2021-07-09,34870.16015625,4369.5498046875,14826.08984375,2280.0
2021-07-12,34996.1796875,4384.6298828125,14877.8896484375,2281.820068359375
2021-07-13,34888.7890625,4369.2099609375,14874.5400390625,2238.860107421875
2021-07-14,34933.23046875,4374.2998046875,14900.4404296875,2202.360107421875
2021-07-15,34987.01953125,4360.02978515625,14794.6904296875,2190.2900390625
2021-07-16,34687.8515625,4327.16015625,14681.3798828125,2163.239990234375
2021-07-19,33962.0390625,4258.490234375,14549.08984375,2130.679931640625
2021-07-20,34511.98828125,4323.06005859375,14728.2099609375,2194.300048828125
2021-07-21,34798.0,4358.68994140625,14842.6298828125,2234.0400390625
2021-07-22,34823.3515625,4367.47998046875,14940.169921875,2199.47998046875
2021-07-23,35061.55078125,4411.7900390625,15111.7900390625,2209.64990234375
2021-07-26,35144.30859375,4422.2998046875,15125.9501953125,2216.919921875
2021-07-27,35058.51953125,4401.4599609375,14956.9697265625,2191.830078125
2021-07-28,34930.9296875,4400.64013671875,15018.099609375,2224.9599609375
2021-07-29,35084.53125,4419.14990234375,15048.3603515625,2240.030029296875
2021-07-30,34935.46875,4395.259765625,14959.900390625,2226.25
2021-08-02,34838.16015625,4387.16015625,14963.6201171875,2215.5
2021-08-03,35116.3984375,4423.14990234375,15061.419921875,2223.580078125
2021-08-04,34792.671875,4402.66015625,15083.3896484375,2196.320068359375
2021-08-05,35064.25,4429.10009765625,15181.6396484375,2236.010009765625
2021-08-06,35208.51171875,4436.52001953125,15109.3603515625,2247.760009765625
2021-08-09,35101.8515625,4432.35009765625,15133.1103515625,2234.81005859375
2021-08-10,35264.671875,4436.75,15053.580078125,2239.360107421875
2021-08-11,35484.96875,4442.41015625,15027.759765625,2250.340087890625
2021-08-12,35499.8515625,4460.830078125,15088.98046875,2244.070068359375
2021-08-13,35515.37890625,4468.0,15136.6796875,2223.110107421875
2021-08-16,35625.3984375,4479.7099609375,15140.76953125,2209.47998046875
2021-08-17,35343.28125,4448.080078125,15002.830078125,2177.169921875
2021-08-18,34960.69140625,4400.27001953125,14857.919921875,2158.780029296875
2021-08-19,34894.12109375,4405.7998046875,14933.9404296875,2132.419921875
2021-08-20,35120.078125,4441.669921875,15092.5703125,2167.60009765625
2021-08-23,35335.7109375,4479.52978515625,15312.8203125,2208.300048828125
2021-08-24,35366.26171875,4486.22998046875,15357.6796875,2230.909912109375
2021-08-25,35405.5,4496.18994140625,15368.919921875,2239.27001953125
2021-08-26,35213.12109375,4470.0,15278.51953125,2213.97998046875
2021-08-27,35455.80078125,4509.3701171875,15432.9501953125,2277.14990234375
2021-08-30,35399.83984375,4528.7900390625,15605.08984375,2265.989990234375
2021-08-31,35360.73046875,4522.68017578125,15582.509765625,2273.77001953125
2021-09-01,35312.53125,4524.08984375,15611.5703125,2287.06005859375
2021-09-02,35443.8203125,4536.9501953125,15604.25,2304.02001953125
2021-09-03,35369.08984375,4535.43017578125,15652.8603515625,2292.050048828125
2021-09-07,35100.0,4520.02978515625,15675.759765625,2275.610107421875
2021-09-08,35031.0703125,4514.06982421875,15620.849609375,2249.72998046875
2021-09-09,34879.37890625,4493.27978515625,15561.0498046875,2249.1298828125
2021-09-10,34607.71875,4458.580078125,15440.75,2227.550048828125
2021-09-13,34869.62890625,4468.72998046875,15434.5,2240.780029296875
2021-09-14,34577.5703125,4443.0498046875,15382.900390625,2209.97998046875
2021-09-15,34814.390625,4480.7001953125,15503.5302734375,2234.449951171875
2021-09-16,34751.3203125,4473.75,15515.91015625,2232.909912109375
2021-09-17,34584.87890625,4432.990234375,15333.4697265625,2236.8701171875
2021-09-20,33970.46875,4357.72998046875,15012.1904296875,2182.199951171875
2021-09-21,33919.83984375,4354.18994140625,15027.76953125,2186.179931640625
2021-09-22,34258.3203125,4395.64013671875,15176.509765625,2218.56005859375
2021-09-23,34764.8203125,4448.97998046875,15316.580078125,2259.0400390625
2021-09-24,34798.0,4455.47998046875,15329.6796875,2248.070068359375
2021-09-27,34869.37109375,4443.10986328125,15204.8203125,2281.0
2021-09-28,34299.98828125,4352.6298828125,14770.2998046875,2229.780029296875
2021-09-29,34390.71875,4359.4599609375,14752.8896484375,2225.31005859375
2021-09-30,33843.921875,4307.5400390625,14689.6201171875,2204.3701171875
2021-10-01,34326.4609375,4357.0400390625,14791.8701171875,2241.6298828125
2021-10-04,34002.921875,4300.4599609375,14472.1201171875,2217.469970703125
2021-10-05,34314.671875,4345.72021484375,14674.150390625,2228.360107421875
2021-10-06,34416.98828125,4363.5498046875,14766.75,2214.9599609375
2021-10-07,34754.94140625,4399.759765625,14897.1298828125,2250.090087890625
2021-10-08,34746.25,4391.33984375,14820.75,2233.090087890625
2021-10-11,34496.05859375,4361.18994140625,14713.73046875,2220.639892578125
2021-10-12,34378.33984375,4350.64990234375,14662.1103515625,2234.27001953125
2021-10-13,34377.80859375,4363.7998046875,14774.599609375,2241.969970703125
2021-10-14,34912.55859375,4438.259765625,15052.419921875,2274.179931640625
2021-10-15,35294.76171875,4471.3701171875,15146.919921875,2265.64990234375
2021-10-18,35258.609375,4486.4599609375,15300.8896484375,2267.840087890625
2021-10-19,35457.30859375,4519.6298828125,15410.7197265625,2275.909912109375
2021-10-20,35609.33984375,4536.18994140625,15388.7099609375,2289.77001953125
2021-10-21,35603.078125,4549.77978515625,15489.58984375,2296.179931640625
2021-10-22,35677.01953125,4544.89990234375,15355.0703125,2291.27001953125
2021-10-25,35741.1484375,4566.47998046875,15514.1904296875,2312.639892578125
2021-10-26,35756.87890625,4574.7900390625,15559.490234375,2296.080078125
2021-10-27,35490.69140625,4551.68017578125,15598.3896484375,2252.489990234375
2021-10-28,35730.48046875,4596.419921875,15778.16015625,2297.97998046875
2021-10-29,35819.55859375,4605.3798828125,15850.4697265625,2297.18994140625
2021-11-01,35913.83984375,4613.669921875,15905.2802734375,2358.1201171875
